goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay06Part1-16    	  372153	      3263 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  372927	      3263 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  373867	      3265 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  355246	      3303 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  314424	      3384 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  367298	      3317 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  352682	      3295 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  295525	      3842 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  368161	      3307 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  349486	      3295 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  352153	      3339 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  367899	      3293 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part2-16    	  368169	      3300 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay07Part1-16    	    1572	    768922 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1482	    775800 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1527	    770850 ns/op	  754817 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1514	    769991 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1502	    783943 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1516	    767581 ns/op	  754817 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1509	    762110 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1554	    774846 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1604	    758855 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part1-16    	    1489	    776352 ns/op	  754816 B/op	   14392 allocs/op
BenchmarkDay07Part2-16    	     667	   1779848 ns/op	 2353153 B/op	   24375 allocs/op
BenchmarkDay07Part2-16    	     681	   1768085 ns/op	 2353148 B/op	   24375 allocs/op
